Generation,RandomBot_WinRate,SmartBot_WinRate,Original_PPO_WinRate,Previous_Gen_WinRate,Avg_WinRate
1,0.7700,0.7700,0.4900,0.3350,0.5913
2,0.7700,0.7700,0.4950,0.3250,0.5900
3,0.7800,0.7800,0.5050,0.3250,0.5975
4,0.7900,0.7900,0.4900,0.3500,0.6050
5,0.7400,0.7400,0.4650,0.3600,0.5763
6,0.7800,0.7800,0.4550,0.3700,0.5963
7,0.7100,0.7100,0.4550,0.3600,0.5587
8,0.7100,0.7100,0.4750,0.3950,0.5725
9,0.6500,0.6500,0.4750,0.4100,0.5463
10,0.6400,0.6400,0.4800,0.4550,0.5537
11,0.6300,0.6300,0.4750,0.4500,0.5463
12,0.6200,0.6200,0.4450,0.4500,0.5338
13,0.6300,0.6300,0.4500,0.4450,0.5387
14,0.5500,0.5500,0.4600,0.4900,0.5125
15,0.5600,0.5600,0.4600,0.5200,0.5250
16,0.5900,0.5900,0.4450,0.4650,0.5225
17,0.5400,0.5400,0.4600,0.4900,0.5075
18,0.5300,0.5300,0.4350,0.4900,0.4963
19,0.5000,0.5000,0.4100,0.4750,0.4712
20,0.5400,0.5400,0.4200,0.4650,0.4913
21,0.5000,0.5000,0.4550,0.4700,0.4813
22,0.5000,0.5000,0.4550,0.4900,0.4863
23,0.4500,0.4500,0.4600,0.5200,0.4700
24,0.5000,0.5000,0.4500,0.5250,0.4938
25,0.5100,0.5100,0.4450,0.5100,0.4938
26,0.4900,0.4900,0.4700,0.5250,0.4938
27,0.5200,0.5200,0.4500,0.4950,0.4962
28,0.5400,0.5400,0.4650,0.5250,0.5175
29,0.5600,0.5600,0.4650,0.4900,0.5188
30,0.5400,0.5400,0.4600,0.5100,0.5125
31,0.4700,0.4700,0.4600,0.5300,0.4825
32,0.4600,0.4600,0.4500,0.5550,0.4813
33,0.4400,0.4400,0.4600,0.5100,0.4625
34,0.4300,0.4300,0.4700,0.5350,0.4663
35,0.4300,0.4300,0.4650,0.5500,0.4688
36,0.4200,0.4200,0.4600,0.4950,0.4487
37,0.3500,0.3500,0.4500,0.5300,0.4200
38,0.3800,0.3800,0.4600,0.5400,0.4400
39,0.4200,0.4200,0.4500,0.5200,0.4525
40,0.3700,0.3700,0.4300,0.5400,0.4275
41,0.3600,0.3600,0.4300,0.5800,0.4325
42,0.3500,0.3500,0.4300,0.6150,0.4362
43,0.3800,0.3800,0.4250,0.5900,0.4437
44,0.3800,0.3800,0.4200,0.5850,0.4412
45,0.3400,0.3400,0.4300,0.5900,0.4250
46,0.3700,0.3700,0.4450,0.5450,0.4325
47,0.3400,0.3400,0.4450,0.6000,0.4313
48,0.3900,0.3900,0.4200,0.5850,0.4462
49,0.3800,0.3800,0.4450,0.5850,0.4475
50,0.3800,0.3800,0.4250,0.5700,0.4387
51,0.3900,0.3900,0.4350,0.5800,0.4487
52,0.4100,0.4100,0.4400,0.5900,0.4625
53,0.3700,0.3700,0.4050,0.5700,0.4287
54,0.3900,0.3900,0.4350,0.5400,0.4388
55,0.3600,0.3600,0.4050,0.5700,0.4237
56,0.4500,0.4500,0.4300,0.5350,0.4663
57,0.3600,0.3600,0.4350,0.5200,0.4188
58,0.3600,0.3600,0.4200,0.5150,0.4137
59,0.3700,0.3700,0.4200,0.5250,0.4213
60,0.3600,0.3600,0.4250,0.5300,0.4188
61,0.4300,0.4300,0.4350,0.5700,0.4662
62,0.3900,0.3900,0.4300,0.5550,0.4413
63,0.4500,0.4500,0.4200,0.5250,0.4613
64,0.3700,0.3700,0.4450,0.5450,0.4325
65,0.4300,0.4300,0.4250,0.5450,0.4575
66,0.4300,0.4300,0.4600,0.5200,0.4600
67,0.4200,0.4200,0.4350,0.5050,0.4450
68,0.4400,0.4400,0.4600,0.5600,0.4750
69,0.3900,0.3900,0.4450,0.5300,0.4388
70,0.3600,0.3600,0.4250,0.4950,0.4100
71,0.3600,0.3600,0.4500,0.5450,0.4287
72,0.4400,0.4400,0.4600,0.5350,0.4688
73,0.5000,0.5000,0.4550,0.5200,0.4938
74,0.5400,0.5400,0.4300,0.5200,0.5075
75,0.4900,0.4900,0.4450,0.5000,0.4813
